City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
484,pimenta bueno,58,BR,1610152818,77,-11.6725,-61.1936,298.01,0.92
485,aklavik,75,CA,1610152819,77,68.2191,-135.0107,250.15,2.06
486,santa vitoria do palmar,0,BR,1610152820,81,-33.5189,-53.3681,291.92,2.91
487,aswan,0,EG,1610152821,41,24.0934,32.907,288.8,2.49
488,saryg-sep,100,RU,1610152822,84,51.5,95.6,244.51,0.35
489,cap estate,20,LC,1610152822,83,14.0833,-60.95,298.15,3.09
490,fuzhou,40,CN,1610152823,70,26.0614,119.3061,276.15,2.0
491,walvis bay,100,NA,1610152824,82,-22.9575,14.5053,293.15,4.12
492,cabo san lucas,1,MX,1610152825,68,22.8909,-109.9124,295.15,2.06
493,tocopilla,1,CL,1610152826,62,-22.092,-70.1979,294.4,3.21
494,chunoyar,100,RU,1610152828,84,57.4467,97.3217,247.81,1.17
495,kiruna,90,SE,1610152829,85,67.8557,20.2251,257.15,2.06
496,dunedin,94,NZ,1610152830,60,-45.8742,170.5036,290.17,6.15
497,zhicheng,0,CN,1610152831,68,30.2956,111.5047,273.15,0.58
498,suihua,1,CN,1610152832,86,46.6406,126.9969,244.87,2.15
499,port augusta,0,AU,1610152833,53,-32.5,137.7667,305.93,3.09
500,lengshuitan,78,CN,1610152834,67,26.4111,111.5956,274.58,1.7
501,cotonou,40,BJ,1610152835,94,6.3654,2.4183,300.15,3.6
502,tigil,100,RU,1610152836,91,57.8,158.6667,254.18,2.4
503,roebourne,14,AU,1610152837,41,-20.7833,117.1333,307.82,1.36
504,tura,100,IN,1610152838,66,25.5198,90.2201,288.73,1.18
505,serenje,100,ZM,1610152839,96,-13.2325,30.2352,289.9,0.79
506,itarema,84,BR,1610152840,78,-2.9248,-39.9167,299.8,7.02
507,havoysund,0,NO,1610152841,54,70.9963,24.6622,268.15,1.54
508,nacogdoches,90,US,1610152842,75,31.6002,-94.6335,280.93,4.12
509,soyaux,89,FR,1610152843,93,45.65,0.2,272.15,5.66
510,lesnoy,100,RU,1610152844,95,57.6198,63.0784,257.95,0.83
511,tara,100,RU,1610152845,89,56.8944,74.371,254.35,4.08
512,navelim,75,IN,1610152846,94,15.5333,73.9833,297.15,2.57
513,alofi,75,NU,1610152847,70,-19.0595,-169.9187,303.15,6.17
514,flin flon,20,CA,1610152848,92,54.7682,-101.865,262.15,1.54
515,fort nelson,75,CA,1610152851,85,58.8053,-122.7002,256.15,1.03
516,port antonio,20,JM,1610152852,74,18.18,-76.4612,300.15,5.14
517,ghanzi,90,BW,1610152853,75,-21.5667,21.7833,294.66,2.52
518,trincomalee,100,LK,1610152854,80,8.5711,81.2335,300.05,4.49
519,ixtapa,20,MX,1610152767,83,20.7,-105.2,295.37,3.6
520,mocuba,100,MZ,1610152856,93,-16.8392,36.9856,296.8,1.2
521,sioux lookout,90,CA,1610152846,100,50.1001,-91.917,269.15,3.09
522,sosva,13,RU,1610152857,91,59.1766,61.8558,250.58,1.44
